State,All_countries,Latinamerica,Caribean,Central_america,Southamerica,Argentina,Bolivia,Belize,Brazil,Chile,Colombia,Costa_Rica,Cuba,Dominican_Republic,Ecuador,El_Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,Trinidad_Tobago,Uruguay,Venezuela
Maryland,903500,356211.1127,72639.36776,215034.5212,68535.48515,3763.189224,5546.139001,624.5414371,8849.041064,3028.260494,12010.25402,1886.825496,3503.899721,12875.51569,4580.031478,108131.9795,34922.99939,8885.352321,23062.66646,26583.87327,37005.13315,6283.895922,3035.366496,16962.79977,13024.8476,1031.628513,2788.406258
Massachusetts,1129700,411277.1301,182493.4116,101206.7746,127574.0416,3800.181254,1149.028798,190.1648607,69394.16402,2808.168882,24014.50842,1853.828548,2988.91446,86885.73182,8317.057162,39777.46391,29658.84874,55866.9277,11917.82764,19271.63307,13964.05025,990.1411686,1701.766121,7313.775997,6067.394841,2337.424061,5469.796924
Michigan,671100,128243.0406,15768.86275,98170.7814,14302.89255,1544.667203,429.0107521,197.1709345,4356.512531,563.2344428,2565.840631,742.9312896,4477.871847,3208.879299,553.0038007,2903.106842,7610.21778,1380.899342,2062.970164,4140.136002,83598.30081,310.0442043,720.3242839,1676.177844,1146.074582,211.1286288,1524.222072
Minnesota,461800,113472.0359,6865.94024,85353.80994,21251.84035,706.8477102,206.005163,240.2082451,2354.276974,944.3930976,3720.768896,605.9439589,1247.964284,1271.952156,5919.040681,7803.287181,7558.216292,1120.918293,3284.952491,1295.042542,64492.23206,778.1109386,547.2463657,1531.162458,1044.067944,144.0877846,1344.195843
Mississippi,69800,35707.01129,3182.972296,30118.93293,2404.981933,139.9698436,7.000175443,110.0954456,444.0522414,64.02665069,775.9518042,57.99463633,815.9766475,863.9675021,217.0014914,657.0241802,3016.086311,115.991545,2410.965131,843.0276932,23319.08391,241.0343653,256.1153009,354.0375637,159.0103477,1.000609615,238.0346805
Missouri,247800,73876.02336,6784.940945,58313.87015,8776.934066,780.8317703,293.0073435,74.06420889,1953.229792,299.1245087,1938.879573,294.9727193,2758.921042,797.9699846,566.0038901,3759.138346,5560.159114,997.9272581,3592.948037,1412.046385,43580.15681,646.0921161,742.3341926,1076.114177,248.0161399,246.1499653,1125.163931
Montana,22700,4688.001483,413.9963966,3198.992877,1074.991924,106.9769519,2.000050127,72.06247352,129.0151783,67.02789994,292.9818024,40.99620844,111.9967947,141.9946589,39.00026804,21.00077288,125.0035772,39.99708449,125.9981778,69.0022667,2564.009226,174.0248115,76.03422997,251.0266341,0,0,103.0150088
Nebraska,133400,71636.02266,4481.96099,63570.85845,3582.973084,211.9543346,44.00110278,183.1587869,805.094717,210.0874476,766.9523632,103.9903824,3412.902326,267.9899196,145.0009966,4725.173899,8901.254726,239.982507,1527.977902,265.0087055,47642.17143,273.0389283,199.0896285,693.0735357,86.00559689,29.01767884,629.0916557
Nevada,566400,318548.1007,24046.7907,275721.3861,18778.85893,1981.573071,488.0122309,895.7765805,3054.359336,1494.622127,4049.748463,858.9205623,18879.45969,1976.925639,1156.007945,25438.93622,13493.38614,479.9650139,3963.942672,1505.04944,226047.8134,3661.522039,1301.585963,4535.481218,562.036575,171.1042442,1332.194095
New Hampshire,81300,16001.00506,5985.947899,4962.988949,5051.962049,147.9681204,81.00203013,15.01301532,1816.213672,142.0591312,1346.916341,154.9856661,357.9897546,3733.859552,500.0034364,523.0192485,1070.030621,658.9519671,757.9890376,898.0295,2187.007869,74.010552,181.0815214,399.0423387,140.0091112,326.1987345,143.0208375
